stations_id,stations_name,Lat,Long,stations_time,stations_offset,stations_params_id,stations_params_key,stations_params_name,stations_params_localName,stations_params_unit,stations_params_localUnit,stations_params_value,stations_params_cr,stations_params_time,stations_params_offset,stations_params_level
650,дім,49.343484,28.729830,2025-06-05 01:00:20,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,2.9415,1.0000000000,2025-06-05 01:00:20,0,0
650,дім,49.343484,28.729830,2025-06-05 01:00:20,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,2.6500,1.0000000000,2025-06-05 01:00:20,0,0
650,дім,49.343484,28.729830,2025-06-05 01:00:20,0,C1,VOC (H₂CO),VOC (H₂CO),ЛОС (Формальдегід),ppb,мкг/м³,9.6500,1.2450000000,2025-06-05 01:00:20,0,0
650,дім,49.343484,28.729830,2025-06-05 01:00:20,0,E1,Temperature,Temperature,Температура,°C,°C,19.4245,1.0000000000,2025-06-05 01:00:20,0,0
650,дім,49.343484,28.729830,2025-06-05 01:00:20,0,E2,Humidity,Humidity,Вологість,%,%,73.9950,1.0000000000,2025-06-05 01:00:20,0,0
650,дім,49.343484,28.729830,2025-06-05 01:00:20,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99014.2665,0.0075006168,2025-06-05 01:00:20,0,0
774,Станція замостя,49.245473,28.493727,2025-06-05 01:00:00,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,13.3820,1.0000000000,2025-06-05 01:00:00,0,0
774,Станція замостя,49.245473,28.493727,2025-06-05 01:00:00,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,10.7675,1.0000000000,2025-06-05 01:00:00,0,0
774,Станція замостя,49.245473,28.493727,2025-06-05 01:00:00,0,E1,Temperature,Temperature,Температура,°C,°C,18.9995,1.0000000000,2025-06-05 01:00:00,0,0
774,Станція замостя,49.245473,28.493727,2025-06-05 01:00:00,0,E2,Humidity,Humidity,Вологість,%,%,75.1935,1.0000000000,2025-06-05 01:00:00,0,0
774,Станція замостя,49.245473,28.493727,2025-06-05 01:00:00,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98758.2190,0.0075006168,2025-06-05 01:00:00,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-06-05 00:59:30,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,9.7105,1.0000000000,2025-06-05 00:59:30,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-06-05 00:59:30,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,4.6884,1.0000000000,2025-06-05 00:59:30,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-06-05 00:59:30,0,E1,Temperature,Temperature,Температура,°C,°C,18.3674,1.0000000000,2025-06-05 00:59:30,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-06-05 00:59:30,0,E2,Humidity,Humidity,Вологість,%,%,64.6079,1.0000000000,2025-06-05 00:59:30,0,0
790,станція Вишенька,49.2270093,28.4189984,2025-06-05 00:59:30,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98779.2668,0.0075006168,2025-06-05 00:59:30,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-06-05 01:00:06,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,16.5500,1.0000000000,2025-06-05 01:00:06,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-06-05 01:00:06,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,9.6900,1.0000000000,2025-06-05 01:00:06,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-06-05 01:00:06,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,13.4820,1.0000000000,2025-06-05 01:00:06,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-06-05 01:00:06,0,E1,Temperature,Temperature,Температура,°C,°C,18.1400,1.0000000000,2025-06-05 01:00:06,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-06-05 01:00:06,0,E1,Temperature,Temperature,Температура,°C,°C,17.3345,1.0000000000,2025-06-05 01:00:06,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-06-05 01:00:06,0,E2,Humidity,Humidity,Вологість,%,%,72.9655,1.0000000000,2025-06-05 01:00:06,0,0
1811,EcoCity станція моніторингу Хмільник,49.558012,27.956897,2025-06-05 01:00:06,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98974.7480,0.0075006168,2025-06-05 01:00:06,0,0
1825,Центральна площа,49.105637,29.206617,2025-06-05 01:00:04,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,1045.9300,1.0000000000,2025-06-05 01:00:04,0,0
1825,Центральна площа,49.105637,29.206617,2025-06-05 01:00:04,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,528.3200,1.0000000000,2025-06-05 01:00:04,0,0
1825,Центральна площа,49.105637,29.206617,2025-06-05 01:00:04,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,13.6230,1.0000000000,2025-06-05 01:00:04,0,0
1825,Центральна площа,49.105637,29.206617,2025-06-05 01:00:04,0,E1,Temperature,Temperature,Температура,°C,°C,17.5450,1.0000000000,2025-06-05 01:00:04,0,0
1825,Центральна площа,49.105637,29.206617,2025-06-05 01:00:04,0,E1,Temperature,Temperature,Температура,°C,°C,16.3805,1.0000000000,2025-06-05 01:00:04,0,0
1825,Центральна площа,49.105637,29.206617,2025-06-05 01:00:04,0,E2,Humidity,Humidity,Вологість,%,%,76.4235,1.0000000000,2025-06-05 01:00:04,0,0
1825,Центральна площа,49.105637,29.206617,2025-06-05 01:00:04,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,99490.9910,0.0075006168,2025-06-05 01:00:04,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-06-05 00:59:59,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,13.5800,1.0000000000,2025-06-05 00:59:59,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-06-05 00:59:59,0,A3,PM2.5,PM2.5,Пил 2.5 мкм,ug/m3,мкг/м³,7.1467,1.0000000000,2025-06-05 00:59:59,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-06-05 00:59:59,0,D1,RAD,RAD,Радіаційний фон,uR/h,мкР/год,10.0253,1.0000000000,2025-06-05 00:59:59,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-06-05 00:59:59,0,E1,Temperature,Temperature,Температура,°C,°C,16.6807,1.0000000000,2025-06-05 00:59:59,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-06-05 00:59:59,0,E1,Temperature,Temperature,Температура,°C,°C,16.1847,1.0000000000,2025-06-05 00:59:59,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-06-05 00:59:59,0,E2,Humidity,Humidity,Вологість,%,%,79.8647,1.0000000000,2025-06-05 00:59:59,0,0
1830,Центр Безпеки громадян Війтівецької сільської ради,49.6288314,27.89884,2025-06-05 00:59:59,0,E3,Pressure,Pressure,Атмосферний тиск,Pa,мм.рт.ст.,98740.8667,0.0075006168,2025-06-05 00:59:59,0,0
1834,Eco Stryzh,49.3064814,28.4828855,2025-06-05 00:59:35,0,A2,PM10,PM10,Пил 10 мкм,ug/m3,мкг/м³,19.5450,1.0000000000,2025-06-05 00:59:35,0,0
